"Id","Name","CommandLine","Path","Parent","StartTime"
"4816","AggregatorHost","AggregatorHost.exe","C:\Windows\System32\AggregatorHost.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:55:29 AM"
"804","Code","""C:\Users\michael.cruz\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node ""c:\Users\michael.cruz\AppData\Local\Programs\Microsoft VS Code\resources\app\out\bootstrap-fork"" --type=ptyHost --logsPath C:\Users\michael.cruz\AppData\Roaming\Code\logs\20230523T095805","C:\Users\michael.cruz\AppData\Local\Programs\Microsoft VS Code\Code.exe","System.Diagnostics.Process (Code)","5/23/2023 9:58:09 AM"
"3796","conhost","\??\C:\Windows\system32\conhost.exe 0x4","C:\Windows\system32\conhost.exe","System.Diagnostics.Process (pxp-agent)","5/23/2023 9:55:29 AM"
"576","csrss",,,,"5/23/2023 9:55:26 AM"
"3264","ctfmon","""ctfmon.exe""","C:\Windows\system32\ctfmon.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:44 AM"
"12308","dllhost","C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}","C:\Windows\system32\DllHost.exe","System.Diagnostics.Process (svchost)","5/25/2023 11:50:02 AM"
"1088","dwm","""dwm.exe""","C:\Windows\system32\dwm.exe","System.Diagnostics.Process (winlogon)","5/23/2023 9:55:28 AM"
"2204","explorer","C:\Windows\Explorer.EXE","C:\Windows\Explorer.EXE",,"5/23/2023 9:57:46 AM"
"1008","fontdrvhost","""fontdrvhost.exe""","C:\Windows\system32\fontdrvhost.exe","System.Diagnostics.Process (winlogon)","5/23/2023 9:55:28 AM"
"2060","Graylog-collector-sidecar","""C:\Program Files\graylog\collector-sidecar\graylog-collector-sidecar.exe""","C:\Program Files\graylog\collector-sidecar\graylog-collector-sidecar.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"0","Idle",,,,
"3048","inetinfo","C:\Windows\system32\inetsrv\inetinfo.exe","C:\Windows\system32\inetsrv\inetinfo.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"1064","LogonUI","""LogonUI.exe"" /flags:0x2 /state0:0xa3bd4855 /state1:0x41c64e6d","C:\Windows\system32\LogonUI.exe","System.Diagnostics.Process (winlogon)","5/23/2023 9:55:28 AM"
"852","lsass","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","System.Diagnostics.Process (wininit)","5/23/2023 9:55:27 AM"
"7832","mmc","""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\services.msc"" ","C:\Windows\system32\mmc.exe","System.Diagnostics.Process (explorer)","5/25/2023 11:50:06 AM"
